Season,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1988-1989,"Charles Smith",PF,23,LAC,71,2161,15.60,0.5500,0.0030,0.4480,8.60,14.40,11.50,6.90,1.40,2.30,12.20,21.80,2.40,1.60,4.00,0.0890,-0.8000,-0.9000,-1.7000,0.2000
1989-1990,"Charles Smith",PF,24,LAC,78,2732,19.50,0.5890,0.0100,0.5000,7.50,14.30,11.00,6.70,1.50,2.60,10.40,23.80,6.30,2.10,9.40,0.1650,1.7000,0.2000,1.9000,2.7000
1980-1981,"Charlie Criss",PG,32,ATL,66,1708,13.00,0.5400,0.0430,0.4410,1.70,5.00,3.40,23.80,1.70,0.10,18.80,17.30,1.80,0.70,2.50,0.0700,0.1000,-1.2000,-1.2000,0.4000
1981-1982,"Charlie Criss",PG,33,ATL,27,552,13.60,0.4850,0.0380,0.3480,1.20,6.60,3.90,20.70,2.10,0.20,11.00,21.40,0.40,0.60,1.00,0.0890,-0.8000,0.3000,-0.5000,0.2000
1983-1984,"Charlie Criss",PG,35,ATL,9,108,11.00,0.4750,0.0000,0.2270,3.10,8.60,5.80,26.60,1.40,0.00,19.90,12.10,0.00,0.10,0.10,0.0580,-2.0000,-0.1000,-2.1000,0.0000
1984-1985,"Charlie Criss",PG,36,ATL,4,115,6.90,0.4580,0.1180,0.3530,1.90,11.30,6.70,23.70,1.30,0.00,35.90,11.00,-0.10,0.10,0.00,-0.0120,-3.3000,1.0000,-2.3000,0.0000
1982-1983,"Charlie Criss",PG,34,MIL,66,922,14.50,0.5040,0.0830,0.2030,1.80,7.40,4.70,19.80,1.40,0.00,9.70,20.30,1.30,0.90,2.20,0.1130,0.3000,-0.5000,-0.2000,0.4000
1983-1984,"Charlie Criss",PG,35,MIL,6,107,10.60,0.4310,0.2000,0.3670,2.20,7.20,4.80,20.90,2.30,0.00,10.30,15.30,0.00,0.10,0.20,0.0770,-2.4000,0.5000,-2.0000,0.0000
1981-1982,"Charlie Criss",PG,33,SDC,28,840,13.10,0.5520,0.0730,0.2990,1.00,5.40,3.10,18.10,1.20,0.30,13.80,18.30,1.20,-0.20,1.10,0.0610,0.2000,-2.1000,-1.8000,0.0000
1981-1982,"Charlie Criss",PG,33,TOT,55,1392,13.30,0.5240,0.0580,0.3190,1.10,5.90,3.40,19.20,1.50,0.30,12.60,19.50,1.60,0.40,2.10,0.0720,-0.2000,-1.1000,-1.3000,0.2000
1983-1984,"Charlie Criss",PG,35,TOT,15,215,10.80,0.4490,0.1150,0.3080,2.70,7.90,5.30,23.80,1.90,0.00,14.50,13.70,0.10,0.20,0.30,0.0680,-2.2000,0.2000,-2.1000,0.1000
1984-1985,"Charlie Sitton",SF,22,DAL,43,304,8.00,0.4330,0.0210,0.2660,8.80,13.80,11.20,11.10,1.10,1.10,15.30,17.10,-0.20,0.30,0.10,0.0080,-4.7000,-0.6000,-5.3000,-0.2000
1987-1988,"Chris Dudley",C,22,CLE,55,513,12.10,0.5050,0.0000,0.5180,17.50,15.70,16.50,6.30,1.20,2.20,15.60,16.60,0.30,0.70,1.00,0.0930,-2.4000,-0.6000,-3.1000,-0.1000
1988-1989,"Chris Dudley",C,23,CLE,61,544,8.70,0.4300,0.0060,0.6370,15.80,16.70,16.30,5.20,0.80,2.40,17.00,20.20,-0.70,0.80,0.10,0.0110,-5.7000,-1.3000,-7.0000,-0.7000
1989-1990,"Chris Dudley",PF,24,CLE,37,684,8.70,0.3880,0.0000,0.3790,14.30,19.00,16.60,4.20,1.40,3.60,16.80,18.00,-1.20,2.10,-0.20,-0.0130,-5.7000,-0.4000,-6.1000,-0.7000
1989-1990,"Chris Dudley",PF,24,NJN,27,672,10.30,0.4190,0.0000,0.6910,12.80,22.70,17.40,4.00,1.60,2.80,15.40,14.00,-0.60,2.10,0.30,0.0250,-3.7000,-0.2000,-3.9000,-0.3000
1989-1990,"Chris Dudley",PF,24,TOT,64,1356,9.50,0.4020,0.0000,0.5130,13.50,20.80,17.00,4.10,1.50,3.20,16.20,16.00,-1.80,2.10,0.20,0.0050,-4.7000,-0.3000,-5.0000,-1.0000
1984-1985,"Chris Engler",C,25,CHI,3,3,9.10,0.5000,0.0000,0.0000,39.60,37.70,38.60,0.00,0.00,0.00,33.30,41.80,0.00,0.00,0.00,-0.2250,-8.9000,-6.4000,-15.3000,0.0000
1982-1983,"Chris Engler",C,23,GSW,54,369,5.80,0.4010,0.0000,0.1700,12.20,18.50,15.30,3.70,0.90,2.60,19.20,13.30,-0.30,0.30,0.00,-0.0060,-6.2000,-0.9000,-7.1000,-0.5000
1983-1984,"Chris Engler",C,24,GSW,46,360,5.30,0.4300,0.0000,0.2770,7.60,22.80,14.70,3.80,1.20,0.50,20.50,12.70,-0.40,0.40,0.00,0.0000,-5.8000,-0.5000,-6.4000,-0.4000
1984-1985,"Chris Engler",C,25,MIL,1,3,0.00,0.0000,0.0000,0.0000,37.20,0.00,18.50,0.00,0.00,19.80,0.00,27.20,0.00,0.00,0.00,-0.3380,-7.6000,-3.3000,-10.8000,0.0000
1986-1987,"Chris Engler",C,27,MIL,5,48,5.80,0.2810,0.0000,0.0830,6.90,30.50,18.50,7.70,1.00,1.30,0.00,10.60,0.00,0.10,0.10,0.0520,-6.5000,-1.5000,-8.1000,-0.1000
1984-1985,"Chris Engler",C,25,NJN,7,76,13.90,0.4760,0.0000,0.5630,14.30,25.90,19.90,0.00,1.30,3.10,4.80,11.10,0.10,0.10,0.20,0.1240,0.2000,-1.2000,-1.0000,0.0000
1986-1987,"Chris Engler",C,27,NJN,18,130,10.60,0.5510,0.0000,0.3870,12.10,16.40,14.30,4.20,1.10,4.10,21.60,14.40,0.00,0.10,0.20,0.0560,-2.7000,0.7000,-2.0000,0.0000
1987-1988,"Chris Engler",C,28,NJN,54,399,7.10,0.4980,0.0000,0.3980,9.00,19.90,14.20,5.20,1.10,0.90,21.90,14.00,-0.20,0.30,0.20,0.0220,-5.3000,-0.7000,-6.0000,-0.4000
1986-1987,"Chris Engler",C,27,POR,7,17,29.10,0.5900,0.0000,0.3750,40.40,12.90,26.30,8.60,2.70,3.30,17.70,26.20,0.10,0.00,0.10,0.2390,7.1000,-2.1000,5.0000,0.0000
1984-1985,"Chris Engler",C,25,TOT,11,82,13.20,0.4380,0.0000,0.4500,16.10,25.40,20.60,0.00,1.20,3.60,7.70,12.80,0.00,0.10,0.20,0.0950,-0.4000,-1.5000,-1.9000,0.0000
1986-1987,"Chris Engler",C,27,TOT,30,195,11.00,0.5000,0.0000,0.3140,13.30,19.60,16.40,5.50,1.20,3.30,17.10,14.50,0.00,0.20,0.30,0.0710,-2.8000,-0.1000,-2.9000,0.0000
1980-1981,"Chris Ford",SG,32,BOS,82,2723,8.80,0.4880,0.1540,0.1230,3.10,3.70,3.40,13.70,1.70,0.50,14.60,13.00,1.30,2.40,3.70,0.0660,-1.5000,0.6000,-0.9000,0.7000
1981-1982,"Chris Ford",SG,33,BOS,76,1591,7.80,0.4580,0.1400,0.1240,3.70,3.80,3.70,11.10,1.20,0.30,9.90,13.30,0.70,1.40,2.10,0.0630,-2.2000,0.2000,-2.0000,0.0000
1985-1986,"Chris McNealy",PF,24,NYK,30,627,13.70,0.5190,0.0000,0.3260,10.70,26.70,18.30,9.30,3.00,1.20,17.50,13.30,0.30,1.30,1.60,0.1220,-1.9000,2.0000,0.1000,0.3000
1986-1987,"Chris McNealy",PF,25,NYK,59,972,8.70,0.5320,0.0000,0.4470,8.50,17.80,13.10,6.30,1.80,1.00,23.00,11.90,-0.10,0.90,0.80,0.0390,-3.4000,0.2000,-3.2000,-0.3000
1987-1988,"Chris McNealy",PF,26,NYK,19,265,7.70,0.3820,0.0000,0.4190,10.00,17.90,13.80,11.40,2.90,0.50,16.20,16.00,-0.30,0.40,0.20,0.0300,-3.6000,1.6000,-2.0000,0.0000
