Player,Pos,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,2P%,eFG%,FT%,Season,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Walter Berry,SF,22,SAS,56,28.0,17.6,5.4,1.9,0.6,0.7,2.7,0.529,0.0,0.531,0.529,0.648,1986-1987,16.6,0.559,26.6,1.3,0.9,2.2,0.067,0.0,-1.8,-1.8,0.1
Larry Bird*,SF,30,BOS,74,40.6,28.1,9.2,7.6,1.8,0.9,3.2,0.525,0.4,0.547,0.555,0.91,1986-1987,26.4,0.612,27.5,10.4,4.8,15.2,0.243,7.3,2.0,9.4,8.6
Rolando Blackman,SG,27,DAL,80,34.5,21.0,3.5,3.3,0.8,0.3,2.2,0.495,0.333,0.497,0.497,0.884,1986-1987,18.1,0.569,24.3,6.5,1.5,8.0,0.14,2.2,-1.1,1.0,2.1
Manute Bol,C,24,WSB,82,18.9,3.1,4.4,0.1,0.2,3.7,0.7,0.446,,0.448,0.446,0.672,1986-1987,10.9,0.482,8.3,-0.5,2.9,2.4,0.074,-4.3,4.6,0.3,0.9
Randy Breuer,C,26,MIL,76,19.3,7.9,4.6,0.6,0.7,0.8,1.3,0.485,,0.485,0.485,0.584,1986-1987,12.3,0.512,19.1,0.1,2.3,2.4,0.077,-2.7,0.1,-2.6,-0.2
Tony Brown,SG,26,NJN,77,30.4,11.3,2.8,3.4,1.2,0.2,2.0,0.442,0.25,0.447,0.445,0.738,1986-1987,9.7,0.485,18.2,0.0,1.2,1.3,0.026,-2.4,-0.4,-2.8,-0.5
Michael Cage,PF,25,LAC,80,36.5,15.7,11.5,1.6,1.2,0.8,2.1,0.521,,0.522,0.521,0.73,1986-1987,17.1,0.579,17.1,4.8,2.4,7.2,0.119,0.8,-1.1,-0.2,1.3
Kenny Carr,PF,31,POR,49,29.4,10.8,10.2,1.7,0.6,0.3,2.1,0.504,,0.506,0.504,0.746,1986-1987,12.8,0.558,15.7,1.1,1.8,2.9,0.098,-0.7,-0.5,-1.2,0.3
Joe Barry Carroll,C,28,GSW,81,33.6,21.2,7.3,2.6,1.1,1.5,2.8,0.472,,0.472,0.472,0.787,1986-1987,18.4,0.521,27.8,2.1,2.6,4.6,0.082,0.9,-0.2,0.7,1.8
Bill Cartwright,C,29,NYK,58,34.3,17.5,7.7,1.7,0.7,0.4,2.2,0.531,,0.531,0.531,0.79,1986-1987,17.1,0.617,20.0,4.4,1.4,5.8,0.14,1.4,-0.7,0.7,1.4
Terry Catledge,PF,23,WSB,78,27.6,13.1,7.2,0.7,0.6,0.2,1.9,0.495,0.0,0.497,0.495,0.594,1986-1987,14.2,0.522,21.1,1.5,2.1,3.6,0.08,-0.7,-2.0,-2.7,-0.4
Tom Chambers,PF,27,SEA,82,36.8,23.3,6.6,3.0,1.0,0.6,3.3,0.456,0.372,0.466,0.475,0.849,1986-1987,17.0,0.554,26.0,5.3,2.1,7.4,0.118,1.4,-1.2,0.1,1.6
Maurice Cheeks*,PG,30,PHI,68,38.6,15.6,3.2,7.9,2.6,0.2,2.5,0.527,0.235,0.533,0.529,0.777,1986-1987,18.3,0.579,17.4,5.2,2.7,7.9,0.145,2.1,1.0,3.2,3.4
Ben Coleman,C,25,NJN,68,15.1,6.6,4.2,0.5,0.5,0.5,1.4,0.581,,0.583,0.581,0.727,1986-1987,13.6,0.617,18.0,0.9,1.1,2.0,0.093,-2.0,-0.2,-2.2,0.0
Steve Colter,PG,24,TOT,70,18.9,6.1,1.5,3.0,0.8,0.2,1.0,0.426,0.235,0.434,0.431,0.766,1986-1987,11.6,0.477,16.4,0.6,1.1,1.7,0.061,-1.6,0.4,-1.2,0.3
Steve Colter,PG,24,CHI,27,17.5,4.9,1.6,3.5,0.7,0.2,1.2,0.345,0.0,0.368,0.345,0.846,1986-1987,9.8,0.412,17.0,-0.3,0.4,0.2,0.019,-2.8,0.1,-2.7,-0.1
Steve Colter,PG,24,PHI,43,19.7,6.8,1.5,2.7,0.9,0.1,0.9,0.471,0.5,0.47,0.478,0.721,1986-1987,12.6,0.514,16.0,0.9,0.6,1.5,0.084,-0.9,0.5,-0.4,0.4
Darwin Cook,SG,28,WSB,82,17.3,7.5,1.8,1.8,1.2,0.2,1.2,0.426,0.087,0.439,0.428,0.796,1986-1987,12.5,0.46,21.6,-0.5,1.7,1.2,0.04,-2.5,1.2,-1.3,0.2
