"Player","Seasons","Teams","PTS","TRB","AST","STL","BLK","PER","TS%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"Otis Smith",3,3,12.075,3.975,2.2,1.275,0.65,17.45,0.539,22.225,2.075,1.475,3.225,0.1015,1.375,0,1.35,1.275
"Quinn Buckner",4,2,9.55,2.875,3.975,1.875,0.025,12.6,0.48725,18.975,0.2,3,3.225,0.07775,-2.1,1.7,-0.375,0.9
"Gerald Wilkins",5,1,15.56,3.42,3.56,1.12,0.24,14.04,0.508,23.38,1.38,1.84,3.22,0.0608,0.22,-0.82,-0.6,0.92
"Joe Barry Carroll",9,5,16.0333333333333,7.31666666666667,1.68333333333333,0.891666666666667,1.58333333333333,15.4,0.501833333333333,23.8,0.883333333333333,2.45,3.18333333333333,0.0611666666666667,-1.05833333333333,-0.0583333333333334,-1.13333333333333,0.675
"Bill Walton*",4,3,10.975,8.575,2.825,0.75,2.15,17.675,0.5685,19.025,0.875,2.25,3.15,0.1035,0.3,2.35,2.675,1.7
"Jerome Whitehead",4,2,10.3,6.825,0.875,0.55,0.425,13.875,0.56175,16.7,2.4,0.725,3.15,0.08875,-0.875,-1.7,-2.55,-0.2
"Wayne Cooper",9,4,9.06666666666667,7.03333333333333,1.04444444444444,0.366666666666667,1.86666666666667,13.5777777777778,0.493222222222222,17.9111111111111,0.9,2.21111111111111,3.13333333333333,0.0851111111111111,-2.3,-0.0555555555555556,-2.34444444444444,-0.0666666666666667
"Danny Young",4,2,5.65,1.5,3.475,1.1,0.05,12.45,0.5415,12.4,1.675,1.475,3.125,0.1025,-0.325,1.325,0.975,1.15
"Kevin Grevey",4,2,10.95,2.025,2.125,0.575,0.175,11.6,0.49725,19.65,1.425,1.725,3.125,0.08425,-1.125,-0.1,-1.225,0.5
"Darrell Walker",7,3,9.77142857142857,4.24285714285714,4.62857142857143,1.67142857142857,0.328571428571429,14.2857142857143,0.491142857142857,19.6428571428571,0.571428571428572,2.34285714285714,3.11428571428571,0.0704285714285714,-0.6,1.52857142857143,0.942857142857143,1.6
"Harold Pressley",3,1,10.2666666666667,5,2.2,1.03333333333333,0.733333333333333,14.0333333333333,0.515,18.7333333333333,1.46666666666667,1.83333333333333,3.1,0.0743333333333333,0.233333333333333,0.1,0.366666666666667,1.2
"Joe Meriweather",3,1,7.36666666666667,5.16666666666667,0.833333333333333,0.5,1,12.0333333333333,0.571333333333333,15.0666666666667,1.2,1.93333333333333,3.1,0.0943333333333333,-2.26666666666667,0.5,-1.8,0.1
"Marvin Webster",4,1,5.15,5.475,0.85,0.35,1.3,11.825,0.51925,12.925,0.7,2.4,3.1,0.09475,-1.775,1.15,-0.575,0.525
"Alvin Scott",3,1,5,3,1.6,0.633333333333333,0.7,11.0333333333333,0.523,12.5666666666667,0.9,2.16666666666667,3.1,0.0983333333333333,-1.2,1.53333333333333,0.333333333333333,0.933333333333333
"Mitchell Wiggins",5,2,10.96,3.48,1.82,1.16,0.1,14.02,0.5024,21.5,1.38,1.6,3.08,0.0942,-1.04,0.1,-0.92,0.46
"Ray Williams",7,6,12.6625,3.0375,5.475,1.6875,0.3,15.0375,0.497875,23.4625,0.9375,2.125,3.075,0.0765,-0.175,0.5875,0.4,1.4125
"Brad Sellers",3,1,8.3,3.5,1.4,0.466666666666667,0.866666666666667,11.5666666666667,0.507666666666667,16.7333333333333,1.33333333333333,1.8,3.06666666666667,0.0783333333333333,-1.46666666666667,-0.4,-1.86666666666667,0.0666666666666667
"Mike Glenn",6,3,7.73333333333333,1.28333333333333,1.65,0.516666666666667,0.0833333333333333,14.8,0.582166666666667,17.8,2.18333333333333,0.9,3.06666666666667,0.134,0.216666666666667,0.2,0.383333333333333,0.716666666666667
