"Player","Pos","Age","Tm","G","MP","PTS","TRB","AST","STL","BLK","TOV","FG%","3P%","2P%","eFG%","FT%","Season","PER","TS%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"Mike Dunleavy","SG",26,"HOU",74,21.7,10.5,1.6,3.6,0.9,0,1.9,0.491,0.063,0.502,0.491,0.839,"1980-1981",15,0.544,21.5,2.1,0.9,3,0.091,-0.1,-0.8,-0.9,0.5
"T.R. Dunn","SG",25,"DEN",82,17.4,4.5,3.7,1,0.8,0.4,0.7,0.412,NA,0.415,0.412,0.653,"1980-1981",10.2,0.456,12.1,0.7,0.8,1.6,0.052,-0.9,-0.1,-1,0.3
"James Edwards","C",25,"IND",81,29.3,15.6,7,2.6,0.4,1.6,2,0.509,NA,0.51,0.509,0.703,"1980-1981",18.2,0.547,22.3,4.4,2.6,7,0.141,1.2,0.1,1.3,2
"Bob Elliott","C",25,"NJN",73,18.1,7.5,3.6,1.8,0.5,0.2,1.6,0.511,NA,0.511,0.512,0.599,"1980-1981",12.3,0.541,18.8,0.6,0.9,1.6,0.057,-1.2,-0.8,-1.9,0
"Alex English*","SF",27,"DEN",81,38.2,23.8,8,3.6,1.3,1.2,3,0.494,0.6,0.494,0.495,0.85,"1980-1981",19.7,0.549,24,6.7,1.6,8.3,0.129,3.1,-1,2.2,3.2
"Julius Erving*","SF",30,"PHI",82,35,24.6,8,4.4,2.1,1.8,3.2,0.521,0.222,0.525,0.522,0.787,"1980-1981",25.1,0.572,28.4,7.8,6.1,13.8,0.231,5.2,2.3,7.5,6.9
"Chris Ford","SG",32,"BOS",82,33.2,8.9,2,3.6,1.2,0.3,1.5,0.444,0.33,0.465,0.47,0.736,"1980-1981",8.8,0.488,13,1.3,2.4,3.7,0.066,-1.5,0.6,-0.9,0.7
"Don Ford","SF",28,"CLE",64,15.6,3.5,2.6,1.3,0.2,0.2,0.8,0.446,NA,0.452,0.446,0.917,"1980-1981",8.2,0.473,11.4,0.3,0.3,0.6,0.028,-2,-0.8,-2.8,-0.2
"Phil Ford","PG",24,"KCK",66,34.7,17.5,1.9,8.8,1.5,0.1,3.7,0.478,0.306,0.485,0.484,0.831,"1980-1981",17.3,0.553,23.3,3.4,1.9,5.2,0.11,1.8,-1.3,0.5,1.4
"World B. Free","SG",27,"GSW",65,36.5,24.1,2.4,5.6,1.3,0.2,3,0.446,0.161,0.454,0.448,0.814,"1980-1981",19.5,0.542,27.4,6.8,0.6,7.4,0.15,2.9,-1.4,1.5,2.1
"Mike Gale","PG",30,"SAS",35,18.2,5.5,1.5,2.8,1.6,0.1,1.1,0.524,0.333,0.528,0.527,0.731,"1980-1981",13.4,0.547,13.4,0.6,0.8,1.4,0.107,-1.4,2.4,1,0.5
"Calvin Garrett","SF",24,"HOU",70,23.4,6.1,3.8,1.9,0.7,0.1,1.3,0.453,NA,0.454,0.454,0.806,"1980-1981",8.8,0.483,13.2,0.2,1.2,1.4,0.04,-2.2,-0.2,-2.3,-0.1
"George Gervin*","SG",28,"SAS",82,33.7,27.1,5.1,3.2,1.1,0.7,3.1,0.492,0.257,0.496,0.494,0.826,"1980-1981",22.9,0.555,32.3,8.1,2.4,10.5,0.182,4.2,-1.2,2.9,3.5
"Artis Gilmore*","C",31,"CHI",82,34.5,17.9,10.1,2.1,0.6,2.4,2.9,0.67,NA,0.67,0.67,0.705,"1980-1981",21.7,0.699,18.5,8.4,3.9,12.3,0.208,3.1,1.2,4.3,4.5
"Mike Glenn","PG",25,"NYK",82,18.4,8.2,1.1,1.3,0.9,0.1,0.8,0.558,0.364,0.562,0.562,0.891,"1980-1981",15,0.601,16.8,3.1,1.3,4.4,0.139,0.1,0.8,0.9,1.1
"Mike Gminski","C",21,"NJN",56,28.2,13.2,7.5,1.3,1,1.8,2.3,0.423,NA,0.424,0.423,0.767,"1980-1981",14.5,0.474,22.7,-0.5,2,1.5,0.045,-1.6,-0.3,-1.8,0.1
"Rickey Green","PG",26,"UTA",47,27.8,9,2.5,5,1.6,0,1.8,0.481,NA,0.482,0.481,0.722,"1980-1981",13.6,0.516,16.2,1,0.7,1.8,0.065,-1.2,0,-1.2,0.3
"Dave Greenwood","PF",23,"CHI",82,33,14.4,8.8,2.7,0.9,1.5,2.3,0.486,NA,0.487,0.486,0.748,"1980-1981",16.6,0.528,19.7,3.8,3.4,7.1,0.126,0.8,0.4,1.2,2.2
"Kevin Grevey","SG",27,"WSB",75,34.9,17.2,2.9,4,0.9,0.2,1.9,0.453,0.331,0.471,0.474,0.841,"1980-1981",14.5,0.524,21.1,3.4,2.4,5.8,0.107,0.5,0.1,0.6,1.7
"Paul Griffin","PF",27,"SAS",82,23.5,6.1,6.2,3,0.9,0.5,1.6,0.511,NA,0.511,0.511,0.672,"1980-1981",13.8,0.575,11.7,2.6,2.3,4.9,0.122,0.8,1,1.8,1.8
"Darrell Griffith","SG",22,"UTA",81,35.4,20.6,3.6,2.4,1.3,0.5,2.9,0.464,0.192,0.473,0.467,0.716,"1980-1981",14.7,0.496,28.8,-0.8,1.1,0.4,0.006,-1,-2.2,-3.2,-0.9
"Bob Gross","SF",27,"POR",82,23.6,7.8,4,3.1,1.1,0.8,1.8,0.528,0,0.538,0.528,0.849,"1980-1981",14,0.584,14.3,2.3,2.1,4.4,0.11,0.3,1.3,1.7,1.8
"Ernie Grunfeld","SF",25,"KCK",79,20.1,7.5,2.6,2.6,0.8,0.2,1.1,0.535,NA,0.535,0.535,0.743,"1980-1981",13.7,0.561,16.2,1.8,1.7,3.5,0.106,-0.7,0.8,0.1,0.8
"Bill Hanzlik","SF",23,"SEA",74,17,5.4,2.1,1.5,0.8,0.3,1.1,0.478,0.2,0.482,0.479,0.793,"1980-1981",11,0.558,14.2,1.1,1.3,2.4,0.091,-1.9,1.1,-0.7,0.4
"James Hardy","PF",24,"UTA",23,22.1,5,5.8,1.6,0.9,0.9,1,0.468,NA,0.468,0.468,0.55,"1980-1981",11.9,0.48,12.1,0.1,0.5,0.7,0.064,-1.3,0.9,-0.4,0.2
"Joe Hassett","SG",25,"TOT",41,17.4,8.7,1.7,1.8,0.3,0,0.5,0.421,0.34,0.489,0.499,0.81,"1980-1981",14.2,0.51,21.1,1.4,0,1.4,0.097,2.1,-1.6,0.5,0.4
"Joe Hassett","SG",25,"GSW",24,18.1,9.1,1.8,2.3,0.3,0.1,0.5,0.424,0.371,0.5,0.533,0.875,"1980-1981",16,0.541,19.4,1.3,0.1,1.4,0.156,4.1,-1.2,2.9,0.5
"Steve Hawes","C",30,"ATL",74,31.2,12,7.6,2.3,1,0.4,2.2,0.523,0.25,0.524,0.524,0.799,"1980-1981",14.7,0.585,16.5,3.4,2.3,5.7,0.119,0.2,0.2,0.4,1.4
"Elvin Hayes*","PF",35,"WSB",81,36.2,17.8,9.7,1.2,0.8,2.1,2.3,0.451,0,0.454,0.451,0.617,"1980-1981",14.9,0.483,23,0.1,4.9,5.1,0.083,-1.6,0.6,-1.1,0.7
"Gar Heard","PF",32,"SDC",78,20.9,4.8,4.5,1.6,1.3,0.9,1,0.376,0,0.383,0.376,0.782,"1980-1981",10.9,0.428,13,-0.2,2.2,2,0.059,-2.1,2,-0.2,0.8
"Gerald Henderson","PG",25,"BOS",82,19.6,7.8,1.6,2.6,1,0.1,2,0.451,0.063,0.462,0.452,0.72,"1980-1981",10.4,0.491,20.5,-0.6,1.8,1.3,0.037,-2.8,0.2,-2.6,-0.2
"Tom Henderson","SG",29,"HOU",66,21.4,5.3,1.6,4.7,0.8,0.1,1.4,0.413,NA,0.416,0.413,0.821,"1980-1981",10.9,0.471,13.4,0.8,0.8,1.5,0.052,-1.3,-0.6,-1.8,0.1
"Keith Herron","SG",24,"DET",80,28.4,13.7,2.6,1.9,1.1,0.3,1.9,0.453,0.182,0.456,0.454,0.854,"1980-1981",13.4,0.511,21.8,1.6,1.9,3.5,0.074,-0.6,-0.6,-1.3,0.4
